id;pos_documento
11;[[['ladrao', 'e', 'baleado', 'por', 'seguranca', 'de', 'deputado', 'durante', 'assalto', 'na', 'avenida', 'santo', 'amaro', 'zona', 'sul', 'de', 'sao'], ['NOUN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'ADJ', 'ADP', 'NOUN'], ['baleado'], ['ladrao', 'e', 'balear', 'por', 'seguranca', 'de', 'deputado', 'durante', 'assalto', 'em o', 'avenida', 'santo', 'amaro', 'zona', 'sul', 'de', 'Sao']], [['paulo', 'brasilurgente', 'bandjornalismo'], ['PROPN', 'PROPN', 'NOUN'], [], ['Paulo', 'Brasilurgente', 'Bandjornalismo']]]
12;[[['butia', 'dois', 'individuos', 'assaltaram', 'o', 'minimercado', 'oliveira', 'localizado', 'na', 'avenida', 'farroupilha', 'bairro', 'vila', 'nova', 'fbme6v2gikpbf'], ['NOUN', 'NUM', 'NOUN', 'VERB', 'DET', 'NOUN', 'PROPN', 'VERB', 'ADP', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'ADJ', 'PROPN'], ['assaltaram', 'localizado'], ['Butia', 'dois', 'individuo', 'assaltar', 'o', 'minimercado', 'oliveira', 'localizar', 'em o', 'avenida', 'Farroupilha', 'bairro', 'vila', 'novo', 'fbme6v2gikpbf']]]
13;[[['copacabana', 'deveria', 'ser', 'um', 'bairro', 'super', 'seguro', 'diante', 'da', 'quantidade', 'de', 'turistas', 'que', 'recebe', 'entretanto', 'e', 'de', 'longe', 'um', 'dos', 'bairros', 'mais', 'violentos', 'com', 'assaltos', 'uma', 'desordem', 'urbana', 'sem', 'fim', 'e', 'diversos', 'outros', 'crimes', 'que', 'vergonha', 'cidade', 'abandonada', 'eduardopaes', 'claudiocastrorj'], ['ADJ', 'VERB', 'AUX', 'DET', 'NOUN', 'ADJ', 'ADJ', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'PRON', 'VERB', 'CCONJ', 'CCONJ', 'ADP', 'ADV', 'NUM', 'ADP', 'NOUN', 'ADV', 'ADJ', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'DET', 'DET', 'NOUN', 'PRON', 'NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN'], ['deveria ser', 'recebe', 'abandonada eduardopaes'], ['copacabana', 'dever', 'ser', 'um', 'bairro', 'super', 'seguro', 'diante', 'de o', 'quantidade', 'de', 'turista', 'que', 'receber', 'entretanto', 'e', 'de', 'longe', 'um', 'de o', 'bairro', 'mais', 'violento', 'com', 'assalto', 'um', 'desordem', 'urbano', 'sem', 'fim', 'e', 'diverso', 'outro', 'crime', 'que', 'vergonha', 'cidade', 'abandonar', 'eduardopaes', 'claudiocastrorj']]]
14;[[['na', 'manha', 'desse', 'domingo'], ['ADP', 'NOUN', 'ADP', 'NOUN'], [], ['em o', 'manha', 'de esse', 'domingo']], [['24', 'um', 'homem', 'foi', 'preso', 'por', 'roubo', 'apos', 'ser', 'denunciado', 'pela', 'propria', 'irma', 'na', 'cidade', 'estrutural', 'ele', 'roubou', 'uma', 'loja', 'na', 'avenida', 'luiz', 'estevao', 'mas', 'antes', 'de', 'sair', 'de', 'casa', 'disse', 'a', 'irma', 'que', 'cometeria', 'o', 'crime', 'saiba', 'mais', 'em'], ['NUM', 'DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'ADJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PROPN', 'CCONJ', 'ADV', 'ADP', 'VERB', 'ADP', 'NOUN', 'VERB', 'DET', 'PROPN', 'PRON', 'VERB', 'DET', 'NOUN', 'VERB', 'ADV', 'ADP'], ['foi preso', 'ser denunciado', 'roubou', 'sair', 'disse', 'cometeria', 'saiba'], ['24', 'um', 'homem', 'ser', 'prender', 'por', 'roubo', 'apos', 'ser', 'denunciar', 'por o', 'propria', 'Irma', 'em o', 'cidade', 'estrutural', 'ele', 'roubar', 'um', 'loja', 'em o', 'avenida', 'Luiz', 'estevao', 'mas', 'antes', 'de', 'sair', 'de', 'casa', 'dizer', 'o', 'irma', 'que', 'cometer', 'o', 'crime', 'saiba', 'mais', 'em']]]
15;[[['se', 'aproximando', 'de', 'nazare', 'e', 'uma', 'avenida', 'mais', 'hostil', 'mesmo', 'recentemente', 'duas', 'motos', 'me', 'fecharam', 'na', 'rua', 'para', 'assaltar', 'escapei', 'mas', 'roubaram', 'o', 'motociclista', 'na', 'minha', 'frente'], ['PRON', 'VERB', 'ADP', 'PROPN', 'CCONJ', 'DET', 'NOUN', 'ADV', 'ADJ', 'ADJ', 'ADV', 'NUM', 'NOUN', 'PRON', 'VERB', 'ADP', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN'], ['aproximando', 'fecharam', 'assaltar', 'roubaram'], ['se', 'aproximar', 'de', 'nazare', 'e', 'um', 'avenida', 'mais', 'hostil', 'mesmo', 'recentemente', 'dois', 'moto', 'eu', 'fechar', 'em o', 'rua', 'para', 'assaltar', 'escapei', 'mas', 'roubar', 'o', 'motociclista', 'em o', 'meu', 'frente']]]
16;[[['quase', 'fui', 'assaltada', 'na', 'praca', 'da', 'se', 'com', 'um', 'gringo', 'que', 'me', 'chamou', 'pra', 'tomar', 'cafe', 'cara', 'kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk', 'que', 'terror'], ['ADV', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'SCONJ', 'ADP', 'DET', 'NOUN', 'PRON', 'PRON', 'VERB', 'SCONJ', 'VERB', 'NOUN', 'NOUN', 'VERB', 'SCONJ', 'NOUN'], ['fui assaltada', 'chamou', 'tomar', 'kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk'], ['quase', 'ser', 'assaltar', 'em o', 'praca', 'de o', 'se', 'com', 'um', 'gringo', 'que', 'eu', 'chamar', 'pra', 'tomar', 'cafe', 'cara', 'kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk', 'que', 'terror']]]
17;[[['mds', 'furtaram', 'um', 'cachorro', 'aqui', 'no', 'meu', 'bairro'], ['NOUN', 'VERB', 'DET', 'NOUN', 'ADV', 'ADP', 'DET', 'NOUN'], ['furtaram'], ['mds', 'furtar', 'um', 'cachorro', 'aqui', 'em o', 'meu', 'bairro']]]
18;[[['videos', 'mostram', 'assaltos', 'na', 'praca', 'de', 'casa', 'forte', 'no', 'recife', 'g1'], ['NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'PROPN'], ['mostram'], ['video', 'mostrar', 'assalto', 'em o', 'praca', 'de', 'casa', 'forte', 'em o', 'Recife', 'g1']]]
19;[[['e', 'caso', 'inusitado', 'que', 'voces', 'querem', 'a', 'grama', 'do', 'canteiro', 'central', 'da', 'principal', 'avenida', 'de', 'passo', 'fundo', 'foi', 'furtada', 'na', 'reportagem', 'foto', 'e', 'video', 'gauchazh'], ['CCONJ', 'NOUN', 'ADJ', 'PRON', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADV', 'AUX', 'VERB', 'ADP', 'NOUN', 'VERB', 'CCONJ', 'PROPN', 'PROPN'], ['querem', 'foi furtada', 'foto'], ['e', 'caso', 'inusitado', 'que', 'voces', 'querer', 'o', 'grama', 'de o', 'canteiro', 'central', 'de o', 'principal', 'avenida', 'de', 'passo', 'fundo', 'ser', 'furtar', 'em o', 'reportagem', 'fotor', 'e', 'video', 'Gauchazh']]]
20;[[['segundo', 'a', 'policia', 'militar', 'dois', 'assaltos', 'foram', 'registrados', 'na', 'cidade', 'nesta', 'segundafeira', '3', 'um', 'deles', 'foi', 'em', 'uma', 'loja', 'de', 'roupas', 'na', 'avenida', 'brasil', 'leia', 'a', 'noticia', 'na', 'integra'], ['ADP', 'DET', 'NOUN', 'ADJ', 'NUM', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NUM', 'NUM', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB'], ['foram registrados', 'foi', 'leia', 'integra'], ['segundo', 'o', 'policia', 'militar', 'dois', 'assalto', 'ser', 'registrar', 'em o', 'cidade', 'em este', 'segundafeira', '3', 'um', 'de ele', 'ser', 'em', 'um', 'loja', 'de', 'roupa', 'em o', 'avenida', 'brasil', 'leia', 'o', 'noticia', 'em o', 'integrar']]]
