id;sentencas;documento
32;['usar o incidente brancoamarelo como desculpa nem todos os gays sao como aqueles mano queria muito saber o que foi esse incidente olhei ao redor e vi que o burburinho da outra rua estava chegando a nos nisso uma moca que estava conversando com sua amiga no outro lado da'];usar o incidente brancoamarelo como desculpa nem todos os gays sao como aqueles mano queria muito saber o que foi esse incidente olhei ao redor e vi que o burburinho da outra rua estava chegando a nos nisso uma moca que estava conversando com sua amiga no outro lado da
33;['fascista', 'foram voces porque voces entraram no orgao publico destruiu que a praca dos tres poderes alguns roubaram armas no congresso nacional fez maior destruicao e agora estao querendo se defender voces tem que ir para cadeia cambada'];fascista foram voces porque voces entraram no orgao publico destruiu que a praca dos tres poderes alguns roubaram armas no congresso nacional fez maior destruicao e agora estao querendo se defender voces tem que ir para cadeia cambada
34;['tava mil amores com essa cidade ate q tive meu celular furtado as 15 hra da tarde numa praca pqp quanta humilhacao vei'];tava mil amores com essa cidade ate q tive meu celular furtado as 15 hra da tarde numa praca pqp quanta humilhacao vei
35;['um velho do outro lado da avenida no ponto de onibus contrario ao meu mexendo comigo realmente tudo q eu pedi hoje era assedio', 'a distancia'];um velho do outro lado da avenida no ponto de onibus contrario ao meu mexendo comigo realmente tudo q eu pedi hoje era assedio a distancia
36;['ja assaltaram o mercadinho do meu bairro as 1837 da tarde'];ja assaltaram o mercadinho do meu bairro as 1837 da tarde
37;['quinta passada umas 2h40min da manha tinha um maluco gritando que tava sendo assaltado na praca valdelino cecio olha a hora', 'po o cara mesmo se coloca numa situacao de risco'];quinta passada umas 2h40min da manha tinha um maluco gritando que tava sendo assaltado na praca valdelino cecio olha a hora po o cara mesmo se coloca numa situacao de risco
38;['e o melhor remedio pra bandidos no servico publico deveria ser crime hediondo quantos confiaram e morreram nas filas e por ladrao de rua'];e o melhor remedio pra bandidos no servico publico deveria ser crime hediondo quantos confiaram e morreram nas filas e por ladrao de rua
39;['tino nos ajude kombi de trabalho de um senhor aqui da rua foi furtada essa madrugada na porta de casa balancogeralrj'];tino nos ajude kombi de trabalho de um senhor aqui da rua foi furtada essa madrugada na porta de casa balancogeralrj
40;['farmacia assaltada na avenida centenario perto da rodoviaria na tarde desta quinta bandido chegou de jaqueta preta e carregando um revolver cromado e levou todo o dinheiro do caixa a bandidagem segue acelerada em criciuma'];farmacia assaltada na avenida centenario perto da rodoviaria na tarde desta quinta bandido chegou de jaqueta preta e carregando um revolver cromado e levou todo o dinheiro do caixa a bandidagem segue acelerada em criciuma
41;['tbm moro em bairro denso mas arborizado e cboa qualidade de vidaa medida que foi densificando o transito aumentou mendigos e assaltos mais frequentes e apagoesagora esta sendo construido predio ao ladoq me tirou a vista e sol da tarde as maravilhas da densificacao'];tbm moro em bairro denso mas arborizado e cboa qualidade de vidaa medida que foi densificando o transito aumentou mendigos e assaltos mais frequentes e apagoesagora esta sendo construido predio ao ladoq me tirou a vista e sol da tarde as maravilhas da densificacao
42;['policia prende acusado de cometer assaltos em marechal deodoro o homem de 22 anos e acusado de cometer varios assaltos na cidade de marechal deodoro e foi preso nesta tercafeira 28', 'proximo a praca da faculdade em maceio br104'];policia prende acusado de cometer assaltos em marechal deodoro o homem de 22 anos e acusado de cometer varios assaltos na cidade de marechal deodoro e foi preso nesta tercafeira 28 proximo a praca da faculdade em maceio br104
43;['policia civil efetua prisao de homem de 42 anos morador do bairro liberdade em portao foragido por furto qualificado e roubo majorado dpportao'];policia civil efetua prisao de homem de 42 anos morador do bairro liberdade em portao foragido por furto qualificado e roubo majorado dpportao
44;['maior esquema de roubo de terrenos patrocinado pelo pt na prefeitura o local servia de area verde para o bairro e drenagem de agua das chuvas depois destas casas feitas passou a encher de agua as casas vizinhas com as enxurradas enfia a erundina no seu toba'];maior esquema de roubo de terrenos patrocinado pelo pt na prefeitura o local servia de area verde para o bairro e drenagem de agua das chuvas depois destas casas feitas passou a encher de agua as casas vizinhas com as enxurradas enfia a erundina no seu toba
45;['cerca de 350 caminhoneiros participaram nesta segunda 15 de uma carreata na avenida brasil contra o roubo de cargas leia a materia completa'];cerca de 350 caminhoneiros participaram nesta segunda 15 de uma carreata na avenida brasil contra o roubo de cargas leia a materia completa
46;['quando da dor da conceicao rua luiz oliveira 157 bairro conceicao a eva foi assediada por uma especie da sua criacao e usando suas palavras a mais astuta de todas alimariase sabido ilustrissimo que esse animal tem o poder de hipnotizar as suas presas para depois dar o bote'];quando da dor da conceicao rua luiz oliveira 157 bairro conceicao a eva foi assediada por uma especie da sua criacao e usando suas palavras a mais astuta de todas alimariase sabido ilustrissimo que esse animal tem o poder de hipnotizar as suas presas para depois dar o bote
47;['reporter da tv globo sofre tentativa de assalto ao vivo situacao aconteceu na avenida paulista em sao paulo durante o programa encontro saopaulo assalto tvglobo encontro patriciapoeta', 'saiba mais redetvuolcombrtvfamablo'];reporter da tv globo sofre tentativa de assalto ao vivo situacao aconteceu na avenida paulista em sao paulo durante o programa encontro saopaulo assalto tvglobo encontro patriciapoeta saiba mais redetvuolcombrtvfamablo
48;['outro dia vi um verme maconhado roubado uma idosa na rua e agredindo a pobre mulher aposto q era petista'];outro dia vi um verme maconhado roubado uma idosa na rua e agredindo a pobre mulher aposto q era petista
49;['eu estava o protegendo de provaveis furtos muitos celulares sao roubados na mesa da praca de alimentacao do minas'];eu estava o protegendo de provaveis furtos muitos celulares sao roubados na mesa da praca de alimentacao do minas
50;['prejuizo com furto de fiacao na praca das feiras em caxias e estimado em cerca de r 50 mil'];prejuizo com furto de fiacao na praca das feiras em caxias e estimado em cerca de r 50 mil
